"Order ID","Date","month","Customer ID","Customer Name","Sales Person","Region","Item","Price","Quantity","Revenue"
"0025","1/8/2018","Jan","3","Company C","Ben Wallace","Texas","Item 1","399","0","0"
"0026","1/8/2018","Jan","14","Company N","Michael Fox","New Mexico","Item 5","289","0","0"
"0027","1/8/2018","Jan","14","Company N","Anne Lee","New Mexico","Item 2","199","1","199"
"0028","1/8/2018","Jan","19","Company S","Andrew James","Arizona","Item 1","399","7","2793"
"0029","1/9/2018","Jan","10","Company J","Laura Larsen","California","Item 2","199","3","597"
"0030","1/9/2018","Jan","12","Company L","Anne Lee","New Mexico","Item 5","289","0","0"
"0031","1/9/2018","Jan","6","Company F","Kim Fishman","California","Item 4","159","2","318"
"0032","1/9/2018","Jan","6","Company F","Laura Larsen","California","Item 1","399","3","1197"
"0033","1/10/2018","Jan","6","Company F","Laura Larsen","California","Item 3","69","2","138"
"0034","1/11/2018","Jan","1","Company A","Ben Wallace","Texas","Item 2","199","8","1592"
"0035","1/11/2018","Jan","16","Company P","Andrew James","Arizona","Item 2","199","5","995"
"0036","1/11/2018","Jan","13","Company M","Anne Lee","New Mexico","Item 5","289","1","289"
"0037","1/11/2018","Jan","13","Company M","Anne Lee","New Mexico","Item 1","399","4","1596"
"0038","1/12/2018","Jan","20","Company T","Oscar Knox","Arizona","Item 1","399","3","1197"
"0039","1/12/2018","Jan","19","Company S","Andrew James","Arizona","Item 3","69","8","552"
"0040","1/12/2018","Jan","14","Company N","Michael Fox","New Mexico","Item 5","289","3","867"
"0041","1/13/2018","Jan","9","Company I","Kim Fishman","California","Item 1","399","4","1596"
"0042","1/13/2018","Jan","17","Company Q","Andrew James","Arizona","Item 3","69","5","345"
"0043","1/13/2018","Jan","13","Company M","Anne Lee","New Mexico","Item 4","159","8","1272"
"0044","1/13/2018","Jan","7","Company G","Laura Larsen","California","Item 1","399","5","1995"
"0045","1/13/2018","Jan","12","Company L","Anne Lee","New Mexico","Item 5","289","4","1156"
"0046","1/13/2018","Jan","14","Company N","Michael Fox","New Mexico","Item 4","159","7","1113"
"0047","1/13/2018","Jan","17","Company Q","Oscar Knox","Arizona","Item 5","289","0","0"
"0048","1/13/2018","Jan","16","Company P","Oscar Knox","Arizona","Item 3","69","1","69"
"0049","1/13/2018","Jan","4","Company D","Ben Wallace","Texas","Item 4","159","5","795"
"0050","1/13/2018","Jan","5","Company E","Ben Wallace","Texas","Item 4","159","7","1113"
"0051","1/13/2018","Jan","19","Company S","Andrew James","Arizona","Item 1","399","6","2394"
"0052","1/13/2018","Jan","1","Company A","Ben Wallace","Texas","Item 3","69","2","138"
"0053","1/14/2018","Jan","17","Company Q","Andrew James","Arizona","Item 3","69","7","483"
"0054","1/15/2018","Jan","8","Company H","Laura Larsen","California","Item 5","289","1","289"
"0055","1/15/2018","Jan","7","Company G","Laura Larsen","California","Item 1","399","0","0"
"0056","1/15/2018","Jan","20","Company T","Andrew James","Arizona","Item 3","69","9","621"
"0057","1/15/2018","Jan","8","Company H","Laura Larsen","California","Item 2","199","5","995"
"0058","1/15/2018","Jan","11","Company K","Michael Fox","New Mexico","Item 3","69","9","621"
"0059","1/15/2018","Jan","9","Company I","Kim Fishman","California","Item 1","399","7","2793"
"0060","1/15/2018","Jan","10","Company J","Laura Larsen","California","Item 2","199","3","597"
"0061","1/16/2018","Jan","2","Company B","Anna Weber","Texas","Item 4","159","8","1272"
"0062","1/17/2018","Jan","20","Company T","Andrew James","Arizona","Item 4","159","9","1431"
"0063","1/17/2018","Jan","9","Company I","Laura Larsen","California","Item 5","289","7","2023"
"0064","1/18/2018","Jan","9","Company I","Laura Larsen","California","Item 1","399","1","399"
"0065","1/19/2018","Jan","9","Company I","Laura Larsen","California","Item 2","199","6","1194"
"0066","1/19/2018","Jan","10","Company J","Laura Larsen","California","Item 5","289","3","867"
"0067","1/20/2018","Jan","16","Company P","Oscar Knox","Arizona","Item 3","69","2","138"
"0068","1/20/2018","Jan","13","Company M","Anne Lee","New Mexico","Item 2","199","8","1592"
"0069","1/21/2018","Jan","19","Company S","Andrew James","Arizona","Item 2","199","8","1592"
"0070","1/21/2018","Jan","6","Company F","Laura Larsen","California","Item 2","199","0","0"
"0071","1/21/2018","Jan","17","Company Q","Oscar Knox","Arizona","Item 4","159","4","636"
"0072","1/22/2018","Jan","15","Company O","Anne Lee","New Mexico","Item 1","399","4","1596"
"0073","1/23/2018","Jan","15","Company O","Anne Lee","New Mexico","Item 4","159","1","159"
"0074","1/23/2018","Jan","20","Company T","Oscar Knox","Arizona","Item 5","289","1","289"
"0075","1/23/2018","Jan","13","Company M","Michael Fox","New Mexico","Item 5","289","5","1445"
"0076","1/24/2018","Jan","18","Company R","Oscar Knox","Arizona","Item 3","69","7","483"
"0077","1/24/2018","Jan","8","Company H","Laura Larsen","California","Item 3","69","2","138"
"0078","1/24/2018","Jan","5","Company E","Ben Wallace","Texas","Item 5","289","1","289"
"0079","1/24/2018","Jan","19","Company S","Oscar Knox","Arizona","Item 5","289","8","2312"
"0080","1/24/2018","Jan","10","Company J","Kim Fishman","California","Item 5","289","3","867"
"0081","1/24/2018","Jan","7","Company G","Laura Larsen","California","Item 1","399","6","2394"
"0082","1/24/2018","Jan","5","Company E","Anna Weber","Texas","Item 3","69","1","69"
"0083","1/24/2018","Jan","10","Company J","Laura Larsen","California","Item 3","69","2","138"
"0084","1/25/2018","Jan","18","Company R","Andrew James","Arizona","Item 1","399","1","399"
"0085","1/26/2018","Jan","4","Company D","Ben Wallace","Texas","Item 1","399","9","3591"
"0086","1/26/2018","Jan","12","Company L","Michael Fox","New Mexico","Item 1","399","2","798"
"0087","1/27/2018","Jan","17","Company Q","Andrew James","Arizona","Item 4","159","3","477"
"0088","1/27/2018","Jan","12","Company L","Michael Fox","New Mexico","Item 3","69","2","138"
"0089","1/27/2018","Jan","8","Company H","Kim Fishman","California","Item 2","199","5","995"
"0090","1/27/2018","Jan","12","Company L","Anne Lee","New Mexico","Item 3","69","2","138"
"0091","1/27/2018","Jan","19","Company S","Andrew James","Arizona","Item 5","289","4","1156"
"0092","1/28/2018","Jan","20","Company T","Oscar Knox","Arizona","Item 1","399","6","2394"
"0093","1/29/2018","Jan","7","Company G","Kim Fishman","California","Item 1","399","1","399"
"0094","1/29/2018","Jan","8","Company H","Kim Fishman","California","Item 2","199","2","398"
"0095","1/29/2018","Jan","7","Company G","Laura Larsen","California","Item 3","69","8","552"
"0096","1/30/2018","Jan","15","Company O","Michael Fox","New Mexico","Item 3","69","9","621"
"0097","1/30/2018","Jan","11","Company K","Anne Lee","New Mexico","Item 3","69","7","483"
"0098","1/30/2018","Jan","19","Company S","Oscar Knox","Arizona","Item 4","159","8","1272"
"0099","1/30/2018","Jan","8","Company H","Laura Larsen","California","Item 2","199","9","1791"
"0100","1/30/2018","Jan","12","Company L","Michael Fox","New Mexico","Item 2","199","5","995"
"0101","1/31/2018","Jan","18","Company R","Oscar Knox","Arizona","Item 3","69","4","276"
"0102","2/1/2018","Feb","10","Company J","Kim Fishman","California","Item 3","69","4","276"
"0103","2/1/2018","Feb","20","Company T","Andrew James","Arizona","Item 3","69","6","414"
"0104","2/2/2018","Feb","4","Company D","Ben Wallace","Texas","Item 1","399","1","399"
"0105","2/2/2018","Feb","11","Company K","Michael Fox","New Mexico","Item 4","159","0","0"
"0106","2/2/2018","Feb","2","Company B","Ben Wallace","Texas","Item 4","159","5","795"
"0107","2/2/2018","Feb","7","Company G","Kim Fishman","California","Item 4","159","5","795"
"0108","2/2/2018","Feb","15","Company O","Anne Lee","New Mexico","Item 1","399","2","798"
"0109","2/2/2018","Feb","20","Company T","Oscar Knox","Arizona","Item 4","159","7","1113"
"0110","2/3/2018","Feb","16","Company P","Oscar Knox","Arizona","Item 2","199","6","1194"
"0111","2/3/2018","Feb","19","Company S","Andrew James","Arizona","Item 1","399","6","2394"
"0112","2/4/2018","Feb","1","Company A","Anna Weber","Texas","Item 1","399","2","798"
"0113","2/5/2018","Feb","17","Company Q","Oscar Knox","Arizona","Item 1","399","5","1995"
"0114","2/5/2018","Feb","9","Company I","Kim Fishman","California","Item 4","159","4","636"
"0115","2/5/2018","Feb","2","Company B","Ben Wallace","Texas","Item 3","69","7","483"
"0116","2/5/2018","Feb","14","Company N","Michael Fox","New Mexico","Item 3","69","7","483"
"0117","2/5/2018","Feb","14","Company N","Michael Fox","New Mexico","Item 1","399","7","2793"
"0118","2/6/2018","Feb","5","Company E","Anna Weber","Texas","Item 5","289","2","578"
"0119","2/6/2018","Feb","5","Company E","Anna Weber","Texas","Item 2","199","2","398"
"0120","2/6/2018","Feb","14","Company N","Michael Fox","New Mexico","Item 4","159","3","477"
"0121","2/7/2018","Feb","15","Company O","Michael Fox","New Mexico","Item 2","199","3","597"
"0122","2/8/2018","Feb","8","Company H","Laura Larsen","California","Item 3","69","6","414"
"0123","2/8/2018","Feb","2","Company B","Anna Weber","Texas","Item 5","289","6","1734"
"0124","2/8/2018","Feb","4","Company D","Ben Wallace","Texas","Item 5","289","7","2023"
"0125","2/8/2018","Feb","10","Company J","Kim Fishman","California","Item 4","159","0","0"
"0126","2/8/2018","Feb","18","Company R","Oscar Knox","Arizona","Item 1","399","4","1596"
"0127","2/8/2018","Feb","8","Company H","Laura Larsen","California","Item 4","159","4","636"
"0128","2/9/2018","Feb","11","Company K","Anne Lee","New Mexico","Item 2","199","0","0"
"0129","2/10/2018","Feb","6","Company F","Kim Fishman","California","Item 2","199","8","1592"
"0130","2/11/2018","Feb","16","Company P","Oscar Knox","Arizona","Item 2","199","0","0"
"0131","2/11/2018","Feb","10","Company J","Kim Fishman","California","Item 1","399","3","1197"
"0132","2/11/2018","Feb","7","Company G","Kim Fishman","California","Item 4","159","9","1431"
"0133","2/11/2018","Feb","12","Company L","Michael Fox","New Mexico","Item 1","399","9","3591"
"0134","2/12/2018","Feb","13","Company M","Michael Fox","New Mexico","Item 4","159","7","1113"
"0135","2/12/2018","Feb","16","Company P","Oscar Knox","Arizona","Item 3","69","5","345"
"0136","2/13/2018","Feb","6","Company F","Laura Larsen","California","Item 2","199","9","1791"
"0137","2/13/2018","Feb","12","Company L","Anne Lee","New Mexico","Item 1","399","3","1197"
"0138","2/13/2018","Feb","14","Company N","Anne Lee","New Mexico","Item 1","399","3","1197"
"0139","2/13/2018","Feb","13","Company M","Michael Fox","New Mexico","Item 3","69","4","276"
"0140","2/13/2018","Feb","15","Company O","Anne Lee","New Mexico","Item 1","399","8","3192"
"0141","2/13/2018","Feb","10","Company J","Kim Fishman","California","Item 4","159","8","1272"
"0142","2/13/2018","Feb","10","Company J","Kim Fishman","California","Item 5","289","4","1156"
"0143","2/13/2018","Feb","7","Company G","Laura Larsen","California","Item 5","289","5","1445"
"0144","2/13/2018","Feb","13","Company M","Anne Lee","New Mexico","Item 4","159","2","318"
"0145","2/13/2018","Feb","6","Company F","Kim Fishman","California","Item 2","199","6","1194"
"0146","2/13/2018","Feb","8","Company H","Laura Larsen","California","Item 2","199","2","398"
"0147","2/13/2018","Feb","13","Company M","Anne Lee","New Mexico","Item 4","159","5","795"
"0148","2/13/2018","Feb","2","Company B","Ben Wallace","Texas","Item 1","399","2","798"
"0149","2/13/2018","Feb","12","Company L","Anne Lee","New Mexico","Item 5","289","8","2312"
"0150","2/13/2018","Feb","8","Company H","Laura Larsen","California","Item 2","199","1","199"
"0151","2/13/2018","Feb","20","Company T","Oscar Knox","Arizona","Item 2","199","8","1592"
"0152","2/13/2018","Feb","12","Company L","Michael Fox","New Mexico","Item 4","159","6","954"
"0153","2/13/2018","Feb","2","Company B","Ben Wallace","Texas","Item 5","289","2","578"
"0154","2/14/2018","Feb","8","Company H","Kim Fishman","California","Item 3","69","8","552"
"0155","2/15/2018","Feb","15","Company O","Michael Fox","New Mexico","Item 2","199","9","1791"
"0156","2/15/2018","Feb","18","Company R","Andrew James","Arizona","Item 4","159","4","636"
"0157","2/16/2018","Feb","13","Company M","Michael Fox","New Mexico","Item 5","289","3","867"
"0158","2/16/2018","Feb","11","Company K","Anne Lee","New Mexico","Item 2","199","4","796"
"0159","2/16/2018","Feb","20","Company T","Oscar Knox","Arizona","Item 4","159","6","954"
"0160","2/16/2018","Feb","1","Company A","Anna Weber","Texas","Item 2","199","9","1791"
"0161","2/16/2018","Feb","8","Company H","Laura Larsen","California","Item 2","199","2","398"
"0162","2/16/2018","Feb","15","Company O","Anne Lee","New Mexico","Item 3","69","5","345"
"0163","2/16/2018","Feb","19","Company S","Oscar Knox","Arizona","Item 5","289","7","2023"
"0164","2/17/2018","Feb","13","Company M","Anne Lee","New Mexico","Item 3","69","1","69"
"0165","2/17/2018","Feb","4","Company D","Anna Weber","Texas","Item 4","159","1","159"
"0166","2/18/2018","Feb","15","Company O","Michael Fox","New Mexico","Item 3","69","0","0"
"0167","2/18/2018","Feb","12","Company L","Anne Lee","New Mexico","Item 3","69","1","69"
"0168","2/18/2018","Feb","7","Company G","Kim Fishman","California","Item 4","159","2","318"
"0169","2/18/2018","Feb","10","Company J","Laura Larsen","California","Item 3","69","4","276"
"0170","2/18/2018","Feb","6","Company F","Laura Larsen","California","Item 3","69","3","207"
"0171","2/19/2018","Feb","8","Company H","Laura Larsen","California","Item 1","399","6","2394"
"0172","2/19/2018","Feb","11","Company K","Michael Fox","New Mexico","Item 3","69","5","345"
"0173","2/19/2018","Feb","2","Company B","Ben Wallace","Texas","Item 1","399","1","399"
"0174","2/19/2018","Feb","6","Company F","Laura Larsen","California","Item 1","399","6","2394"
"0175","2/20/2018","Feb","11","Company K","Michael Fox","New Mexico","Item 5","289","5","1445"
"0176","2/21/2018","Feb","13","Company M","Anne Lee","New Mexico","Item 2","199","6","1194"
"0177","2/21/2018","Feb","8","Company H","Laura Larsen","California","Item 5","289","1","289"
"0178","2/21/2018","Feb","13","Company M","Michael Fox","New Mexico","Item 4","159","1","159"
"0179","2/21/2018","Feb","1","Company A","Anna Weber","Texas","Item 5","289","2","578"
"0180","2/21/2018","Feb","20","Company T","Oscar Knox","Arizona","Item 3","69","3","207"
"0181","2/21/2018","Feb","20","Company T","Andrew James","Arizona","Item 3","69","1","69"
"0182","2/21/2018","Feb","1","Company A","Anna Weber","Texas","Item 4","159","2","318"
"0183","2/22/2018","Feb","10","Company J","Kim Fishman","California","Item 2","199","2","398"
"0184","2/23/2018","Feb","12","Company L","Anne Lee","New Mexico","Item 4","159","7","1113"
"0185","2/23/2018","Feb","4","Company D","Ben Wallace","Texas","Item 1","399","5","1995"
"0186","2/23/2018","Feb","5","Company E","Ben Wallace","Texas","Item 5","289","4","1156"
"0187","2/24/2018","Feb","17","Company Q","Oscar Knox","Arizona","Item 1","399","9","3591"
"0188","2/24/2018","Feb","17","Company Q","Andrew James","Arizona","Item 2","199","6","1194"
"0189","2/25/2018","Feb","20","Company T","Oscar Knox","Arizona","Item 1","399","8","3192"
"0190","2/25/2018","Feb","5","Company E","Anna Weber","Texas","Item 2","199","5","995"
"0191","2/25/2018","Feb","11","Company K","Michael Fox","New Mexico","Item 4","159","4","636"
"0192","2/26/2018","Feb","12","Company L","Anne Lee","New Mexico","Item 1","399","0","0"
"0193","2/27/2018","Feb","9","Company I","Laura Larsen","California","Item 4","159","1","159"
"0194","2/27/2018","Feb","4","Company D","Anna Weber","Texas","Item 2","199","0","0"
"0195","2/27/2018","Feb","15","Company O","Anne Lee","New Mexico","Item 4","159","8","1272"
"0196","2/28/2018","Feb","6","Company F","Laura Larsen","California","Item 5","289","9","2601"
"0197","3/1/2018","Mar","18","Company R","Andrew James","Arizona","Item 3","69","8","552"
"0198","3/1/2018","Mar","18","Company R","Oscar Knox","Arizona","Item 4","159","6","954"
"0199","3/2/2018","Mar","17","Company Q","Andrew James","Arizona","Item 4","159","4","636"
"0200","3/3/2018","Mar","12","Company L","Anne Lee","New Mexico","Item 2","199","4","796"
"0201","3/4/2018","Mar","18","Company R","Oscar Knox","Arizona","Item 5","289","5","1445"
"0202","3/5/2018","Mar","9","Company I","Kim Fishman","California","Item 2","199","0","0"
"0203","3/6/2018","Mar","12","Company L","Michael Fox","New Mexico","Item 5","289","7","2023"
"0204","3/7/2018","Mar","2","Company B","Anna Weber","Texas","Item 2","199","2","398"
"0205","3/8/2018","Mar","19","Company S","Andrew James","Arizona","Item 2","199","5","995"
"0206","3/8/2018","Mar","5","Company E","Ben Wallace","Texas","Item 1","399","6","2394"
"0207","3/8/2018","Mar","18","Company R","Oscar Knox","Arizona","Item 2","199","6","1194"
"0208","3/8/2018","Mar","6","Company F","Kim Fishman","California","Item 2","199","9","1791"
"0209","3/8/2018","Mar","16","Company P","Andrew James","Arizona","Item 4","159","3","477"
"0210","3/8/2018","Mar","14","Company N","Michael Fox","New Mexico","Item 1","399","8","3192"
"0211","3/8/2018","Mar","4","Company D","Ben Wallace","Texas","Item 3","69","4","276"
"0212","3/8/2018","Mar","2","Company B","Anna Weber","Texas","Item 2","199","0","0"
"0213","3/9/2018","Mar","1","Company A","Ben Wallace","Texas","Item 4","159","2","318"
"0214","3/10/2018","Mar","5","Company E","Ben Wallace","Texas","Item 3","69","6","414"
"0215","3/11/2018","Mar","3","Company C","Anna Weber","Texas","Item 2","199","3","597"
"0216","3/11/2018","Mar","18","Company R","Oscar Knox","Arizona","Item 3","69","9","621"
"0217","3/11/2018","Mar","12","Company L","Anne Lee","New Mexico","Item 5","289","4","1156"
"0218","3/11/2018","Mar","8","Company H","Laura Larsen","California","Item 4","159","2","318"
"0219","3/11/2018","Mar","7","Company G","Laura Larsen","California","Item 4","159","1","159"
"0220","3/11/2018","Mar","17","Company Q","Andrew James","Arizona","Item 4","159","2","318"
"0221","3/11/2018","Mar","13","Company M","Michael Fox","New Mexico","Item 4","159","3","477"
"0222","3/11/2018","Mar","4","Company D","Anna Weber","Texas","Item 2","199","8","1592"
"0223","3/11/2018","Mar","10","Company J","Laura Larsen","California","Item 4","159","8","1272"
"0224","3/11/2018","Mar","9","Company I","Kim Fishman","California","Item 1","399","6","2394"
"0225","3/11/2018","Mar","2","Company B","Anna Weber","Texas","Item 1","399","9","3591"
"0226","3/12/2018","Mar","14","Company N","Michael Fox","New Mexico","Item 1","399","1","399"
"0227","3/13/2018","Mar","14","Company N","Michael Fox","New Mexico","Item 1","399","1","399"
"0228","3/14/2018","Mar","1","Company A","Ben Wallace","Texas","Item 5","289","2","578"
"0229","3/14/2018","Mar","17","Company Q","Oscar Knox","Arizona","Item 5","289","8","2312"
"0230","3/15/2018","Mar","3","Company C","Anna Weber","Texas","Item 1","399","6","2394"
"0231","3/15/2018","Mar","19","Company S","Oscar Knox","Arizona","Item 2","199","6","1194"
"0232","3/15/2018","Mar","7","Company G","Laura Larsen","California","Item 1","399","9","3591"
"0233","3/15/2018","Mar","9","Company I","Laura Larsen","California","Item 3","69","8","552"
"0234","3/16/2018","Mar","15","Company O","Anne Lee","New Mexico","Item 2","199","2","398"
"0235","3/16/2018","Mar","2","Company B","Anna Weber","Texas","Item 5","289","3","867"
"0236","3/16/2018","Mar","20","Company T","Andrew James","Arizona","Item 3","69","8","552"
"0237","3/16/2018","Mar","4","Company D","Anna Weber","Texas","Item 3","69","7","483"
"0238","3/16/2018","Mar","7","Company G","Kim Fishman","California","Item 2","199","3","597"
"0239","3/16/2018","Mar","16","Company P","Andrew James","Arizona","Item 1","399","9","3591"
"0240","3/16/2018","Mar","18","Company R","Andrew James","Arizona","Item 2","199","5","995"
"0241","3/16/2018","Mar","4","Company D","Anna Weber","Texas","Item 3","69","5","345"
"0242","3/17/2018","Mar","2","Company B","Anna Weber","Texas","Item 5","289","0","0"
"0243","3/17/2018","Mar","20","Company T","Oscar Knox","Arizona","Item 2","199","4","796"
"0244","3/17/2018","Mar","4","Company D","Anna Weber","Texas","Item 4","159","2","318"
"0245","3/18/2018","Mar","19","Company S","Oscar Knox","Arizona","Item 4","159","0","0"
"0246","3/18/2018","Mar","20","Company T","Oscar Knox","Arizona","Item 5","289","4","1156"
"0247","3/18/2018","Mar","6","Company F","Kim Fishman","California","Item 5","289","2","578"
"0248","3/18/2018","Mar","18","Company R","Andrew James","Arizona","Item 3","69","5","345"
"0249","3/18/2018","Mar","19","Company S","Oscar Knox","Arizona","Item 1","399","3","1197"
"0250","3/18/2018","Mar","8","Company H","Kim Fishman","California","Item 4","159","7","1113"
"0251","3/18/2018","Mar","2","Company B","Ben Wallace","Texas","Item 1","399","9","3591"
"0252","3/18/2018","Mar","14","Company N","Michael Fox","New Mexico","Item 2","199","2","398"
"0253","3/18/2018","Mar","16","Company P","Oscar Knox","Arizona","Item 1","399","5","1995"
"0254","3/19/2018","Mar","6","Company F","Kim Fishman","California","Item 4","159","4","636"
"0255","3/19/2018","Mar","5","Company E","Ben Wallace","Texas","Item 2","199","9","1791"
"0256","3/19/2018","Mar","18","Company R","Oscar Knox","Arizona","Item 4","159","2","318"
"0257","3/19/2018","Mar","2","Company B","Anna Weber","Texas","Item 3","69","8","552"
"0258","3/20/2018","Mar","17","Company Q","Andrew James","Arizona","Item 1","399","5","1995"
"0259","3/20/2018","Mar","16","Company P","Oscar Knox","Arizona","Item 5","289","1","289"
"0260","3/20/2018","Mar","14","Company N","Michael Fox","New Mexico","Item 3","69","9","621"
"0261","3/21/2018","Mar","4","Company D","Anna Weber","Texas","Item 2","199","8","1592"
"0262","3/22/2018","Mar","8","Company H","Laura Larsen","California","Item 4","159","1","159"
"0263","3/23/2018","Mar","7","Company G","Laura Larsen","California","Item 4","159","5","795"
"0264","3/24/2018","Mar","17","Company Q","Andrew James","Arizona","Item 2","199","1","199"
"0265","3/24/2018","Mar","17","Company Q","Oscar Knox","Arizona","Item 5","289","7","2023"
"0266","3/25/2018","Mar","12","Company L","Anne Lee","New Mexico","Item 3","69","4","276"
"0267","3/25/2018","Mar","16","Company P","Oscar Knox","Arizona","Item 2","199","8","1592"
"0268","3/25/2018","Mar","4","Company D","Ben Wallace","Texas","Item 2","199","1","199"
"0269","3/25/2018","Mar","20","Company T","Oscar Knox","Arizona","Item 2","199","6","1194"
"0270","3/25/2018","Mar","14","Company N","Anne Lee","New Mexico","Item 1","399","9","3591"
"0271","3/25/2018","Mar","14","Company N","Michael Fox","New Mexico","Item 2","199","3","597"
"0272","3/25/2018","Mar","15","Company O","Anne Lee","New Mexico","Item 5","289","7","2023"
"0273","3/25/2018","Mar","3","Company C","Ben Wallace","Texas","Item 2","199","9","1791"
"0274","3/25/2018","Mar","7","Company G","Kim Fishman","California","Item 2","199","3","597"
"0275","3/25/2018","Mar","7","Company G","Laura Larsen","California","Item 5","289","0","0"
"0276","3/25/2018","Mar","2","Company B","Anna Weber","Texas","Item 4","159","7","1113"
"0277","3/26/2018","Mar","16","Company P","Oscar Knox","Arizona","Item 5","289","3","867"
"0278","3/26/2018","Mar","6","Company F","Kim Fishman","California","Item 1","399","8","3192"
"0279","3/26/2018","Mar","9","Company I","Kim Fishman","California","Item 3","69","9","621"
"0280","3/26/2018","Mar","16","Company P","Andrew James","Arizona","Item 2","199","1","199"
"0281","3/26/2018","Mar","20","Company T","Andrew James","Arizona","Item 3","69","3","207"
"0282","3/27/2018","Mar","16","Company P","Oscar Knox","Arizona","Item 4","159","6","954"
"0283","3/27/2018","Mar","20","Company T","Andrew James","Arizona","Item 4","159","0","0"
"0284","3/27/2018","Mar","2","Company B","Anna Weber","Texas","Item 4","159","4","636"
"0285","3/27/2018","Mar","11","Company K","Michael Fox","New Mexico","Item 5","289","3","867"
"0286","3/27/2018","Mar","13","Company M","Anne Lee","New Mexico","Item 3","69","6","414"
"0287","3/27/2018","Mar","4","Company D","Anna Weber","Texas","Item 5","289","7","2023"
"0288","3/27/2018","Mar","3","Company C","Ben Wallace","Texas","Item 4","159","2","318"
"0289","3/28/2018","Mar","20","Company T","Andrew James","Arizona","Item 5","289","1","289"
"0290","3/29/2018","Mar","3","Company C","Anna Weber","Texas","Item 4","159","9","1431"
"0291","3/30/2018","Mar","19","Company S","Oscar Knox","Arizona","Item 3","69","3","207"
"0292","3/30/2018","Mar","1","Company A","Ben Wallace","Texas","Item 4","159","0","0"
"0293","3/30/2018","Mar","2","Company B","Anna Weber","Texas","Item 2","199","7","1393"
"0294","3/30/2018","Mar","16","Company P","Oscar Knox","Arizona","Item 4","159","2","318"
"0295","3/31/2018","Mar","7","Company G","Laura Larsen","California","Item 3","69","3","207"
"0296","3/31/2018","Mar","9","Company I","Kim Fishman","California","Item 3","69","4","276"
"0297","3/31/2018","Mar","14","Company N","Michael Fox","New Mexico","Item 1","399","5","1995"
"0298","3/31/2018","Mar","13","Company M","Anne Lee","New Mexico","Item 3","69","4","276"
"0299","3/31/2018","Mar","12","Company L","Michael Fox","New Mexico","Item 2","199","8","1592"
"0300","4/1/2018","Apr","7","Company G","Kim Fishman","California","Item 3","69","2","138"
"0301","4/2/2018","Apr","10","Company J","Kim Fishman","California","Item 1","399","9","3591"
"0302","4/3/2018","Apr","6","Company F","Laura Larsen","California","Item 3","69","6","414"
"0303","4/4/2018","Apr","20","Company T","Oscar Knox","Arizona","Item 4","159","0","0"
"0304","4/4/2018","Apr","2","Company B","Ben Wallace","Texas","Item 3","69","1","69"
"0305","4/5/2018","Apr","8","Company H","Laura Larsen","California","Item 5","289","9","2601"
"0306","4/5/2018","Apr","1","Company A","Anna Weber","Texas","Item 4","159","3","477"
"0307","4/5/2018","Apr","4","Company D","Anna Weber","Texas","Item 2","199","5","995"
"0308","4/5/2018","Apr","12","Company L","Michael Fox","New Mexico","Item 2","199","6","1194"
